seed,training_seed,scenario_seed,episode,timestamp,method,hub_id,hub_index,hub,period,price,arrivals,outside_share,wait_min,wait_excess_min,requested_energy_kwh,served_energy_kwh,unmet_energy_kwh,pv_used_kwh,pv_to_ev_kwh,battery_charge_kwh,battery_discharge_kwh,soc,grid_import_kwh,grid_limit_kwh,grid_utilization,grid_price_gbp_per_kwh,revenue_gbp,energy_cost_gbp,operating_cost_gbp,profit_gbp,access_mean_min,route_mean_min,detour_mean_min,outside_cost_estimate,outside_nll,reward,welfare,energy_balance_error_kwh,outside_cost_error_for_evaluation_only,requested_energy,served_energy,unmet_energy,pv_used,pv_to_ev,battery_charge,battery_discharge,grid_import,grid_limit,grid_limit_utilization,grid_price,revenue,energy_cost,operating_cost,profit,energy_balance,wait_violation,unmet,realized_demand,weighted_hub_profit_welfare,historical_equivalent_vehicles,pending_vehicles,admission_ratio,admission_pressure,admitted_vehicles,queued_energy_start_kwh,pending_energy_kwh,admitted_energy_kwh,queued_energy_next_kwh,queue_vehicle_conservation_error,queue_energy_conservation_error_kwh,admitted_full_service_ratio,pending_full_service_ratio
101,5,101,0,2024-09-20T16:00:00,proposed,H01,0,0,0,0.46856242418289185,15.766740231793182,0.07875436541553546,58.25055173844887,43.25055173844887,394.1685057948296,200.00000000000003,0.0,44.0,44.0,84.21052631578947,0.0,0.95,240.21052631578948,250.0,0.9608421052631579,0.16,93.71248483657838,38.653684210526315,12.0,43.05880062605207,10.426646093807662,10.426646093807662,1.8766891932775056,13.538897993555434,0.4254669677134717,1.6868931375683542,329.9456127502318,0.0,-2.961102006444566,394.1685057948296,200.00000000000003,0.0,44.0,44.0,84.21052631578947,0.0,240.21052631578948,250.0,0.9608421052631579,0.16,93.71248483657838,38.653684210526315,12.0,43.05880062605207,0.0,0.7208425289741478,0.0,15.766740231793182,329.9456127502318,0.0,15.766740231793182,0.507397209720512,1.9708425289741478,8.0,0.0,394.1685057948296,200.00000000000003,194.1685057948296,0.0,0.0,1.0,0.507397209720512
101,5,101,0,2024-09-20T16:00:00,proposed,H02,1,1,0,0.5294427871704102,7.023272993604092,0.07875436541553546,0.0,0.0,175.58182484010229,175.58182484010229,0.0,33.0,33.0,94.73684210526316,0.0,0.95,237.31866694536546,250.0,0.9492746677814619,0.16,92.9605307198105,38.135986711258475,10.534909490406138,44.289634518145895,10.350403269747982,10.350403269747982,1.6703588060311936,13.538897993555434,0.4254669677134717,1.6868931375683542,329.9456127502318,0.0,-2.961102006444566,175.58182484010229,175.58182484010229,0.0,33.0,33.0,94.73684210526316,0.0,237.31866694536546,250.0,0.9492746677814619,0.16,92.9605307198105,38.135986711258475,10.534909490406138,44.289634518145895,0.0,0.0,0.0,7.023272993604092,329.9456127502318,0.0,7.023272993604092,1.0,0.8779091242005115,7.023272993604092,0.0,175.58182484010229,175.58182484010229,0.0,0.0,0.0,1.0,1.0
101,5,101,0,2024-09-20T16:00:00,proposed,H03,2,2,0,0.5401561260223389,6.191500701917184,0.07875436541553546,0.0,0.0,154.78751754792958,154.78751754792958,0.0,33.0,33.0,110.52631578947368,0.0,0.95,232.31383333740325,350.0,0.6637538095354378,0.16,83.60942583530444,37.33521333398452,9.287251052875776,36.98696144844414,10.524391604555804,10.524391604555804,1.6825276633007913,13.538897993555434,0.4254669677134717,1.6868931375683542,329.9456127502318,0.0,-2.961102006444566,154.78751754792958,154.78751754792958,0.0,33.0,33.0,110.52631578947368,0.0,232.31383333740325,350.0,0.6637538095354378,0.16,83.60942583530444,37.33521333398452,9.287251052875776,36.98696144844414,0.0,0.0,0.0,6.191500701917184,329.9456127502318,0.0,6.191500701917184,1.0,0.515958391826432,6.191500701917184,0.0,154.78751754792958,154.78751754792958,0.0,0.0,0.0,1.0,1.0
101,5,101,0,2024-09-20T16:00:00,proposed,H04,3,3,0,0.497302770614624,7.079087792731841,0.07875436541553546,0.0,0.0,176.97719481829603,176.97719481829603,0.0,44.0,44.0,78.94736842105263,0.0,0.95,211.92456323934866,250.0,0.8476982529573946,0.16,88.0112493187427,34.12793011829579,10.618631689097763,43.26468751134915,13.1499188398441,13.1499188398441,4.044716950072058,13.538897993555434,0.4254669677134717,1.6868931375683542,329.9456127502318,0.0,-2.961102006444566,176.97719481829603,176.97719481829603,0.0,44.0,44.0,78.94736842105263,0.0,211.92456323934866,250.0,0.8476982529573946,0.16,88.0112493187427,34.12793011829579,10.618631689097763,43.26468751134915,0.0,0.0,0.0,7.079087792731841,329.9456127502318,0.0,7.079087792731841,1.0,0.8848859740914802,7.079087792731841,0.0,176.97719481829603,176.97719481829603,0.0,0.0,0.0,1.0,1.0
101,5,101,0,2024-09-20T16:00:00,proposed,H05,4,4,0,0.5716525912284851,1.6798622920440582,0.07875436541553546,0.0,0.0,41.996557301101454,41.996557301101454,0.0,82.5,0.0,131.57894736842104,0.0,0.95,91.0755046695225,500.0,0.18215100933904502,0.16,24.0074408038502,14.9845807471236,2.5197934380660874,6.503066618660514,15.448516338228481,15.448516338228481,6.189242363849866,13.538897993555434,0.4254669677134717,1.6868931375683542,329.9456127502318,1.4210854715202004e-14,-2.961102006444566,41.996557301101454,41.996557301101454,0.0,82.5,0.0,131.57894736842104,0.0,91.0755046695225,500.0,0.18215100933904502,0.16,24.0074408038502,14.9845807471236,2.5197934380660874,6.503066618660514,1.4210854715202004e-14,0.0,0.0,1.6798622920440582,329.9456127502318,0.0,1.6798622920440582,1.0,0.10499139325275364,1.6798622920440582,0.0,41.996557301101454,41.996557301101454,0.0,0.0,0.0,1.0,1.0
101,5,101,0,2024-09-20T16:00:00,proposed,H06,5,5,0,0.48814189434051514,7.796819332350432,0.07875436541553546,0.0,0.0,194.92048330876077,194.92048330876077,0.0,110.0,110.0,126.31578947368422,0.0,0.95,211.23627278244498,700.0,0.30176610397492143,0.16,95.14885396810725,34.34780364519119,11.695228998525648,49.105821324390405,13.398224229734364,13.398224229734364,4.623021584831504,13.538897993555434,0.4254669677134717,1.6868931375683542,329.9456127502318,0.0,-2.961102006444566,194.92048330876077,194.92048330876077,0.0,110.0,110.0,126.31578947368422,0.0,211.23627278244498,700.0,0.30176610397492143,0.16,95.14885396810725,34.34780364519119,11.695228998525648,49.105821324390405,0.0,0.0,0.0,7.796819332350432,329.9456127502318,0.0,7.796819332350432,1.0,0.487301208271902,7.796819332350432,0.0,194.92048330876077,194.92048330876077,0.0,0.0,0.0,1.0,1.0
101,5,101,0,2024-09-20T16:00:00,proposed,H07,6,6,0,0.5586836338043213,5.168837473920945,0.07875436541553546,0.0,0.0,129.22093684802363,129.22093684802363,0.0,27.5,27.5,126.31578947368422,0.0,0.95,228.03672632170785,350.0,0.6515335037763081,0.16,72.19362256185256,36.62337621147326,7.753256210881418,27.81699013949789,10.136226353165805,10.136226353165805,1.2209285190314374,13.538897993555434,0.4254669677134717,1.6868931375683542,329.9456127502318,0.0,-2.961102006444566,129.22093684802363,129.22093684802363,0.0,27.5,27.5,126.31578947368422,0.0,228.03672632170785,350.0,0.6515335037763081,0.16,72.19362256185256,36.62337621147326,7.753256210881418,27.81699013949789,0.0,0.0,0.0,5.168837473920945,329.9456127502318,0.0,5.168837473920945,1.0,0.4307364561600788,5.168837473920945,0.0,129.22093684802363,129.22093684802363,0.0,0.0,0.0,1.0,1.0
101,5,101,0,2024-09-20T16:00:00,proposed,H08,7,7,0,0.4315682053565979,29.967359402199822,0.07875436541553546,52.37759775824933,37.37759775824933,749.1839850549954,399.99999999999994,0.0,99.0,0.0,131.57894736842104,0.0,0.95,432.578947368421,500.0,0.865157894736842,0.16,172.62728214263913,69.70763157894736,24.0,78.91965056369177,9.975495370830973,9.975495370830973,1.3263581279802912,13.538897993555434,0.4254669677134717,1.6868931375683542,329.9456127502318,1.4210854715202004e-14,-2.961102006444566,749.1839850549954,399.99999999999994,0.0,99.0,0.0,131.57894736842104,0.0,432.578947368421,500.0,0.865157894736842,0.16,172.62728214263913,69.70763157894736,24.0,78.91965056369177,1.4210854715202004e-14,0.6229599626374889,0.0,29.967359402199822,329.9456127502318,0.0,29.967359402199822,0.533914242668491,1.8729599626374889,16.0,0.0,749.1839850549954,399.99999999999994,349.1839850549955,0.0,0.0,1.0,0.533914242668491
101,5,101,0,2024-09-20T17:00:00,proposed,H01,0,0,1,0.46791282296180725,0.0030885898509454323,0.16646773468034362,0.0,0.0,0.07721474627363581,194.24572054110322,0.0,28.0,28.0,0.0,0.0,0.95,166.24572054110322,250.0,0.6649828821644129,0.22,90.89006344663792,36.71405851904271,11.654743232466192,42.52126169512903,9.65092516094762,9.65092516094762,1.4788960360015504,13.538897993555434,0.6989409117167777,2.8367149276529995,518.1555864090782,0.0,-2.961102006444566,0.07721474627363581,194.24572054110322,0.0,28.0,28.0,0.0,0.0,166.24572054110322,250.0,0.6649828821644129,0.22,90.89006344663792,36.71405851904271,11.654743232466192,42.52126169512903,0.0,0.0,0.0,0.0030885898509454323,518.1555864090782,7.766740231793182,7.769828821644128,1.0,0.971228602705516,7.769828821644128,194.1685057948296,194.24572054110322,194.24572054110322,0.0,0.0,0.0,1.0,1.0
101,5,101,0,2024-09-20T17:00:00,proposed,H02,1,1,1,0.5242934226989746,21.00970119252273,0.16646773468034362,97.57275894392048,82.57275894392048,525.2425298130682,200.0,0.0,21.0,21.0,0.0,0.0,0.95,179.0,250.0,0.716,0.22,104.85868453979492,39.485,12.0,53.37368453979492,9.815275609248651,9.815275609248651,1.4640236742981119,13.538897993555434,0.6989409117167777,2.8367149276529995,518.1555864090782,0.0,-2.961102006444566,525.2425298130682,200.0,0.0,21.0,21.0,0.0,0.0,179.0,250.0,0.716,0.22,104.85868453979492,39.485,12.0,53.37368453979492,0.0,1.3762126490653412,0.0,21.00970119252273,518.1555864090782,0.0,21.00970119252273,0.38077647686142096,2.6262126490653412,8.0,0.0,525.2425298130682,200.0,325.24252981306824,0.0,0.0,1.0,0.38077647686142096
101,5,101,0,2024-09-20T17:00:00,proposed,H03,2,2,1,0.5424904227256775,14.885612990466626,0.16646773468034362,14.428064952333134,0.0,372.1403247616657,300.0,0.0,21.0,21.0,0.0,0.0,0.95,279.0,350.0,0.7971428571428572,0.22,162.74712681770325,61.485,18.0,83.26212681770325,10.599654023980023,10.599654023980023,2.0962388221146195,13.538897993555434,0.6989409117167777,2.8367149276529995,518.1555864090782,0.0,-2.961102006444566,372.1403247616657,300.0,0.0,21.0,21.0,0.0,0.0,279.0,350.0,0.7971428571428572,0.22,162.74712681770325,61.485,18.0,83.26212681770325,0.0,0.0,0.0,14.885612990466626,518.1555864090782,0.0,14.885612990466626,0.8061475202724473,1.2404677492055523,12.0,0.0,372.1403247616657,300.0,72.14032476166568,8.326672684688674e-17,0.0,1.0,0.8061475202724473
101,5,101,0,2024-09-20T17:00:00,proposed,H04,3,3,1,0.5061406493186951,14.127068973108658,0.16646773468034362,45.95301729831493,30.953017298314936,353.17672432771644,200.0,0.0,28.0,28.0,0.0,0.0,0.95,172.0,250.0,0.688,0.22,101.22812986373901,37.980000000000004,12.0,51.24812986373901,13.781200628254513,13.781200628254513,5.051272020250183,13.538897993555434,0.6989409117167777,2.8367149276529995,518.1555864090782,0.0,-2.961102006444566,353.17672432771644,200.0,0.0,28.0,28.0,0.0,0.0,172.0,250.0,0.688,0.22,101.22812986373901,37.980000000000004,12.0,51.24812986373901,0.0,0.5158836216385823,0.0,14.127068973108658,518.1555864090782,0.0,14.127068973108658,0.5662887337230578,1.7658836216385823,8.0,0.0,353.17672432771644,200.0,153.17672432771644,0.0,0.0,1.0,0.5662887337230578
101,5,101,0,2024-09-20T17:00:00,proposed,H05,4,4,1,0.5748951435089111,3.440216641518598,0.16646773468034362,0.0,0.0,86.00541603796495,86.00541603796495,0.0,52.5,52.5,0.0,0.0,0.95,33.50541603796495,500.0,0.0670108320759299,0.22,49.444095995689466,7.633691528352289,5.1603249622778975,36.65007950505928,16.436658434538458,16.436658434538458,7.619422735964697,13.538897993555434,0.6989409117167777,2.8367149276529995,518.1555864090782,0.0,-2.961102006444566,86.00541603796495,86.00541603796495,0.0,52.5,52.5,0.0,0.0,33.50541603796495,500.0,0.0670108320759299,0.22,49.444095995689466,7.633691528352289,5.1603249622778975,36.65007950505928,0.0,0.0,0.0,3.440216641518598,518.1555864090782,0.0,3.440216641518598,1.0,0.2150135400949124,3.440216641518598,0.0,86.00541603796495,86.00541603796495,0.0,0.0,0.0,1.0,1.0
