seed,training_seed,method,episode,scenario_seed,return,profit_gbp,profit,welfare_gbp,welfare,weighted_hub_profit_welfare,served_requests,outside_requests,outside_share,mean_wait_min,p95_wait_min,max_wait_min,wait_violation_rate,mean_wait_excess_min,wait_violation,unmet_energy_kwh,unmet,grid_energy_kwh,peak_grid_import_kwh,pv_utilization,battery_throughput_kwh,energy_cost_gbp,mean_access_min,p95_access_min,mean_detour_min,p95_detour_min,outside_cost_estimate,outside_mae,outside_nll,approx_unilateral_gain,centralized_reference_difference,centralized_reference_gap,exact_oracle_gap,pending_requests,admitted_requests,admission_ratio,minimum_admission_ratio,peak_admission_pressure,admitted_full_service_ratio,pending_full_service_ratio,pending_energy_kwh,admitted_energy_kwh,peak_queued_energy_kwh,mean_queued_energy_kwh,final_queued_energy_kwh,queue_cleared_by_end,queue_clearance_period,max_queue_vehicle_conservation_error,max_queue_energy_conservation_error_kwh,axis,level
5,5,proposed,0,5,8.804373747695658,1526.3266162562054,1526.3266162562054,1526.3266162562054,1526.3266162562054,1526.3266162562054,283.0832744418622,42.32222555813779,0.1300599576778444,26.51180620094754,62.46362197767511,142.60259482019126,0.14583333333333334,19.631370682086725,5.382410345721995,0.0,0.0,6376.942796906313,1753.6723637803711,1.0,1522.5601167718214,1590.6881263547896,11.110881606930034,11.903069330427616,2.5414295061325802,3.3766510799603524,13.538897993555434,2.961102006444566,0.5878407157827038,,,,,352.48007580080406,283.0832744418622,0.8031185132910609,0.29614625643491727,3.3767099136698544,1.0,0.8031185132910609,8812.001895020101,7077.081861046555,606.4722222998247,289.153338995591,0.0,True,5.0,1.1102230246251565e-16,0.0,demand_multiplier,0.85
5,5,proposed,0,5,5.560839117587204,1770.3637153303566,1770.3637153303566,1770.3637153303566,1770.3637153303566,1770.3637153303566,328.475877562108,52.03537370565108,0.13592292585651877,42.62384051590621,90.5089461191109,197.39043657863357,0.22916666666666666,34.2947209608329,10.11899836309697,0.0,0.0,7406.09408700046,1884.6950409800031,1.0,1628.2239046838185,1862.1711450854855,11.11602534872411,12.156571294098796,2.5469857691278928,3.6254251481535125,13.538897993555434,2.961102006444566,0.6050978685847124,,,,,449.4846472482495,328.47587756210794,0.7307833083355378,0.23310889401156837,4.289840609643893,1.0000000000000002,0.730783308335538,11237.116181206238,8211.8969390527,997.4441104469365,504.20320702558973,57.9687183060241,False,,2.220446049250313e-16,0.0,demand_multiplier,1.0
5,5,proposed,0,5,10.61753981413862,1874.7641113148584,1874.7641113148584,1874.7641113148588,1874.7641113148588,1874.7641113148588,351.9267015533266,88.3277984466734,0.20062895086063492,27.012015472191578,62.36523357065105,109.60850897098229,0.25,18.859874167707634,6.775084415841638,0.0,0.0,7933.195050944295,1998.5380034672141,1.0,1687.3935405204493,2011.2988666745714,11.16649701839455,12.158428490697311,2.604902546114253,3.6274265693840086,13.538897993555434,2.961102006444566,0.6594039682072143,,,,,457.4605726344834,351.92670155332667,0.7693049906500257,0.3537558366854412,2.826808482849705,0.9999999999999999,0.7693049906500256,11436.514315862085,8798.167538833164,1081.412569742209,439.7244628381534,0.0,True,5.0,2.220446049250313e-16,0.0,demand_multiplier,1.15
5,5,proposed,0,5,5.02261299594166,1758.834529059912,1758.834529059912,1758.834529059912,1758.834529059912,1758.834529059912,327.5439802667465,52.06416833749773,0.13599814104824,44.441609541177435,89.80388221441149,204.1638299427396,0.25,35.951270957640695,10.471443578881216,0.0,0.0,7380.061745008844,1827.0363409827512,1.0,1630.9588142913976,1858.5598901480191,11.10794591390104,12.134755536071907,2.5390219866615404,3.6034482700865222,13.538897993555434,2.961102006444566,0.6049021075118888,,,,,452.58914074904965,327.54398026674653,0.7237115316656751,0.22713177656837297,4.40273049904566,0.9999999999999998,0.7237115316656749,11314.728518726239,8188.599506668662,1027.8569354563917,521.0215020095965,80.5462848938952,False,,4.440892098500626e-16,0.0,grid_cap_multiplier,0.85
5,5,proposed,0,5,5.560839117587204,1770.3637153303566,1770.3637153303566,1770.3637153303566,1770.3637153303566,1770.3637153303566,328.475877562108,52.03537370565108,0.13592292585651877,42.62384051590621,90.5089461191109,197.39043657863357,0.22916666666666666,34.2947209608329,10.11899836309697,0.0,0.0,7406.09408700046,1884.6950409800031,1.0,1628.2239046838185,1862.1711450854855,11.11602534872411,12.156571294098796,2.5469857691278928,3.6254251481535125,13.538897993555434,2.961102006444566,0.6050978685847124,,,,,449.4846472482495,328.47587756210794,0.7307833083355378,0.23310889401156837,4.289840609643893,1.0000000000000002,0.730783308335538,11237.116181206238,8211.8969390527,997.4441104469365,504.20320702558973,57.9687183060241,False,,2.220446049250313e-16,0.0,grid_cap_multiplier,1.0
5,5,proposed,0,5,5.378849239943966,1771.2134453976346,1771.2134453976346,1771.2134453976346,1771.2134453976346,1771.2134453976346,328.05124208133975,52.32701905965149,0.13668474011872497,43.12910891639035,92.48412550418246,198.38789004645287,0.22916666666666666,34.81024967443119,10.277737678360317,0.0,0.0,7398.187415009489,1886.6866531321034,1.0,1625.5146896555839,1860.4993119612284,11.128135502665947,12.18134655604215,2.559256132720338,3.6503170620375363,13.538897993555434,2.961102006444566,0.607242154937856,,,,,450.09085637747603,328.05124208133975,0.7288556020036413,0.2322090249245552,4.3064648341075475,1.0,0.7288556020036413,11252.2714094369,8201.281052033495,1004.6509123192586,508.4983929005677,61.29347147521929,False,,2.220446049250313e-16,0.0,grid_cap_multiplier,1.15
5,5,proposed,0,5,16.17382891813411,1835.1637209380622,1835.1637209380622,1835.1637209380622,1835.1637209380622,1835.1637209380622,334.5905486189855,48.23945138101456,0.1260075004075296,9.204330814475584,25.74744926986534,83.60143644011441,0.08333333333333333,5.2600827210978265,1.814840242705426,0.0,0.0,7666.328657477009,2181.5327347721473,1.0,1520.8561106292073,1891.6948976146446,11.576246015938294,11.703919211165935,2.998784651047735,3.143485811765429,13.538897993555434,2.961102006444566,0.3999811978508981,,,,,367.4212219135017,334.5905486189855,0.9106456803895634,0.417823118538383,2.393357274001907,1.0,0.9106456803895634,9185.530547837543,8364.763715474637,282.73353203605484,136.79447206048422,0.0,True,4.0,1.1102230246251565e-16,0.0,inverse_cost_sensitivity,0.22
5,5,proposed,0,5,13.938033957694515,1797.7767081492796,1797.7767081492796,1797.7767081492798,1797.7767081492798,1797.7767081492798,330.38568181232273,52.444318187677325,0.13699114016058647,16.652423871641957,36.702512041615854,122.71462345610401,0.14583333333333334,10.45168667333497,3.3664442698319017,0.0,0.0,7551.96714142323,2114.94138872471,1.0,1530.0959565164164,1867.6229626159459,11.452246041881137,11.822692949169664,2.877140250136982,3.2958745729759595,13.538897993555434,2.961102006444566,0.4481664515575468,,,,,384.88054543612077,330.3856818123227,0.858410968623919,0.328380941082226,3.0452437242684,1.0000000000000002,0.8584109686239191,9622.013635903017,8259.642045308068,527.2849277727386,227.06193176582485,0.0,True,5.0,2.220446049250313e-16,0.0,inverse_cost_sensitivity,0.3
5,5,proposed,0,5,5.560839117587204,1770.3637153303566,1770.3637153303566,1770.3637153303566,1770.3637153303566,1770.3637153303566,328.475877562108,52.03537370565108,0.13592292585651877,42.62384051590621,90.5089461191109,197.39043657863357,0.22916666666666666,34.2947209608329,10.11899836309697,0.0,0.0,7406.09408700046,1884.6950409800031,1.0,1628.2239046838185,1862.1711450854855,11.11602534872411,12.156571294098796,2.5469857691278928,3.6254251481535125,13.538897993555434,2.961102006444566,0.6050978685847124,,,,,449.4846472482495,328.47587756210794,0.7307833083355378,0.23310889401156837,4.289840609643893,1.0000000000000002,0.730783308335538,11237.116181206238,8211.8969390527,997.4441104469365,504.20320702558973,57.9687183060241,False,,2.220446049250313e-16,0.0,inverse_cost_sensitivity,0.55
5,5,proposed,0,5,9.46883547821665,1341.1643878565485,1341.1643878565485,1341.1643878565487,1341.1643878565487,1341.1643878565487,256.4124297024426,126.41757029755746,0.3302185573167136,17.297482046808696,42.74885333810196,109.02840210073994,0.10416666666666667,12.508563560335043,3.285673666957363,0.0,0.0,5876.669681744145,1717.6811176716465,1.0,1356.0621134484977,1445.7943172439102,10.898740029658365,11.465467416845547,2.358578962080901,2.9840334500577566,13.538897993555434,0.4611020064445661,0.6216865205509365,,,,,298.3217730549921,256.4124297024425,0.8595163104476988,0.3549699296349045,2.8171400350123323,1.0000000000000002,0.8595163104476989,7458.044326374802,6410.310742561063,363.42800700246653,174.6222639689564,0.0,True,4.0,1.1102230246251565e-16,0.0,true_outside_cost,14.0
