seed,training_seed,scenario_seed,episode,timestamp,method,hub_id,hub_index,hub,period,price,arrivals,outside_share,wait_min,wait_excess_min,requested_energy_kwh,served_energy_kwh,unmet_energy_kwh,pv_used_kwh,pv_to_ev_kwh,battery_charge_kwh,battery_discharge_kwh,soc,grid_import_kwh,grid_limit_kwh,grid_utilization,grid_price_gbp_per_kwh,revenue_gbp,energy_cost_gbp,operating_cost_gbp,profit_gbp,access_mean_min,route_mean_min,detour_mean_min,outside_cost_estimate,outside_nll,reward,welfare,energy_balance_error_kwh,outside_cost_error_for_evaluation_only,requested_energy,served_energy,unmet_energy,pv_used,pv_to_ev,battery_charge,battery_discharge,grid_import,grid_limit,grid_limit_utilization,grid_price,revenue,energy_cost,operating_cost,profit,energy_balance,wait_violation,unmet,realized_demand,weighted_hub_profit_welfare,historical_equivalent_vehicles,pending_vehicles,admission_ratio,admission_pressure,admitted_vehicles,queued_energy_start_kwh,pending_energy_kwh,admitted_energy_kwh,queued_energy_next_kwh,queue_vehicle_conservation_error,queue_energy_conservation_error_kwh,admitted_full_service_ratio,pending_full_service_ratio,axis,level
5,5,5,0,2024-09-20T16:00:00,proposed,H01,0,0,0,0.46856242418289185,13.401729197024205,0.07875436541553546,40.51296897768153,25.512968977681535,335.04322992560515,200.00000000000003,0.0,44.0,44.0,84.21052631578947,0.0,0.95,240.21052631578948,250.0,0.9608421052631579,0.16,93.71248483657838,38.653684210526315,12.0,43.05880062605207,10.42664609380766,10.42664609380766,1.8766891932775056,13.538897993555434,0.42546696771347164,1.9831307910861384,290.38093325300076,0.0,-2.961102006444566,335.04322992560515,200.00000000000003,0.0,44.0,44.0,84.21052631578947,0.0,240.21052631578948,250.0,0.9608421052631579,0.16,93.71248483657838,38.653684210526315,12.0,43.05880062605207,0.0,0.42521614962802556,0.0,13.401729197024205,290.38093325300076,0.0,13.401729197024205,0.5969378937888378,1.6752161496280256,8.0,0.0,335.04322992560515,200.00000000000003,135.04322992560512,0.0,0.0,1.0,0.5969378937888378,demand_multiplier,0.85
5,5,5,0,2024-09-20T16:00:00,proposed,H02,1,1,0,0.5294427871704102,5.969782044563478,0.07875436541553546,0.0,0.0,149.24455111408696,149.24455111408696,0.0,33.0,33.0,94.73684210526316,0.0,0.95,210.98139321935014,250.0,0.8439255728774006,0.16,79.01645111183895,33.92202291509602,8.954673066845217,36.13975512989771,10.350403269747982,10.350403269747982,1.6703588060311936,13.538897993555434,0.42546696771347164,1.9831307910861384,290.38093325300076,0.0,-2.961102006444566,149.24455111408696,149.24455111408696,0.0,33.0,33.0,94.73684210526316,0.0,210.98139321935014,250.0,0.8439255728774006,0.16,79.01645111183895,33.92202291509602,8.954673066845217,36.13975512989771,0.0,0.0,0.0,5.969782044563478,290.38093325300076,0.0,5.969782044563478,1.0,0.7462227555704347,5.969782044563478,0.0,149.24455111408696,149.24455111408696,0.0,0.0,0.0,1.0,1.0,demand_multiplier,0.85
5,5,5,0,2024-09-20T16:00:00,proposed,H03,2,2,0,0.5401561260223389,5.262775596629607,0.07875436541553546,0.0,0.0,131.56938991574015,131.56938991574015,0.0,33.0,33.0,110.52631578947368,0.0,0.95,209.09570570521385,350.0,0.5974163020148967,0.16,71.06801196000877,33.620312912834216,7.89416339494441,29.55353565223015,10.524391604555804,10.524391604555804,1.6825276633007913,13.538897993555434,0.42546696771347164,1.9831307910861384,290.38093325300076,0.0,-2.961102006444566,131.56938991574015,131.56938991574015,0.0,33.0,33.0,110.52631578947368,0.0,209.09570570521385,350.0,0.5974163020148967,0.16,71.06801196000877,33.620312912834216,7.89416339494441,29.55353565223015,0.0,0.0,0.0,5.262775596629607,290.38093325300076,0.0,5.262775596629607,1.0,0.43856463305246723,5.262775596629607,0.0,131.56938991574015,131.56938991574015,0.0,0.0,0.0,1.0,1.0,demand_multiplier,0.85
5,5,5,0,2024-09-20T16:00:00,proposed,H04,3,3,0,0.497302770614624,6.017224623822066,0.07875436541553546,0.0,0.0,150.43061559555164,150.43061559555164,0.0,44.0,44.0,78.94736842105263,0.0,0.95,185.37798401660427,250.0,0.7415119360664171,0.16,74.8095619209313,29.880477442656684,9.025836935733098,35.90324754254152,13.1499188398441,13.1499188398441,4.044716950072057,13.538897993555434,0.42546696771347164,1.9831307910861384,290.38093325300076,0.0,-2.961102006444566,150.43061559555164,150.43061559555164,0.0,44.0,44.0,78.94736842105263,0.0,185.37798401660427,250.0,0.7415119360664171,0.16,74.8095619209313,29.880477442656684,9.025836935733098,35.90324754254152,0.0,0.0,0.0,6.017224623822066,290.38093325300076,0.0,6.017224623822066,1.0,0.7521530779777582,6.017224623822066,0.0,150.43061559555164,150.43061559555164,0.0,0.0,0.0,1.0,1.0,demand_multiplier,0.85
5,5,5,0,2024-09-20T16:00:00,proposed,H05,4,4,0,0.5716525912284851,1.4278829482374493,0.07875436541553546,0.0,0.0,35.69707370593623,35.69707370593623,0.0,82.5,0.0,131.57894736842104,0.0,0.95,84.77602107435729,500.0,0.16955204214871458,0.16,20.40632468327267,13.976663371897166,2.1418244223561738,4.287836889019329,15.448516338228483,15.448516338228483,6.189242363849868,13.538897993555434,0.42546696771347164,1.9831307910861384,290.38093325300076,1.4210854715202004e-14,-2.961102006444566,35.69707370593623,35.69707370593623,0.0,82.5,0.0,131.57894736842104,0.0,84.77602107435729,500.0,0.16955204214871458,0.16,20.40632468327267,13.976663371897166,2.1418244223561738,4.287836889019329,1.4210854715202004e-14,0.0,0.0,1.4278829482374493,290.38093325300076,0.0,1.4278829482374493,1.0,0.08924268426484058,1.4278829482374493,0.0,35.69707370593623,35.69707370593623,0.0,0.0,0.0,1.0,1.0,demand_multiplier,0.85
5,5,5,0,2024-09-20T16:00:00,proposed,H06,5,5,0,0.48814189434051514,6.6272964324978645,0.07875436541553546,0.0,0.0,165.68241081244665,165.68241081244665,0.0,110.0,110.0,126.31578947368422,0.0,0.95,181.99820028613087,700.0,0.25999742898018696,0.16,80.87652587289115,29.66971204578094,9.940944648746797,41.26586917836342,13.398224229734367,13.398224229734367,4.623021584831505,13.538897993555434,0.42546696771347164,1.9831307910861384,290.38093325300076,0.0,-2.961102006444566,165.68241081244665,165.68241081244665,0.0,110.0,110.0,126.31578947368422,0.0,181.99820028613087,700.0,0.25999742898018696,0.16,80.87652587289115,29.66971204578094,9.940944648746797,41.26586917836342,0.0,0.0,0.0,6.6272964324978645,290.38093325300076,0.0,6.6272964324978645,1.0,0.41420602703111653,6.6272964324978645,0.0,165.68241081244665,165.68241081244665,0.0,0.0,0.0,1.0,1.0,demand_multiplier,0.85
5,5,5,0,2024-09-20T16:00:00,proposed,H07,6,6,0,0.5586836338043213,4.393511852832803,0.07875436541553546,0.0,0.0,109.83779632082008,109.83779632082008,0.0,27.5,27.5,126.31578947368422,0.0,0.95,208.6535857945043,350.0,0.5961531022700123,0.16,61.36457917757467,33.52207372712069,6.590267779249205,21.252237671204774,10.136226353165803,10.136226353165803,1.2209285190314376,13.538897993555434,0.42546696771347164,1.9831307910861384,290.38093325300076,0.0,-2.961102006444566,109.83779632082008,109.83779632082008,0.0,27.5,27.5,126.31578947368422,0.0,208.6535857945043,350.0,0.5961531022700123,0.16,61.36457917757467,33.52207372712069,6.590267779249205,21.252237671204774,0.0,0.0,0.0,4.393511852832803,290.38093325300076,0.0,4.393511852832803,1.0,0.3661259877360669,4.393511852832803,0.0,109.83779632082008,109.83779632082008,0.0,0.0,0.0,1.0,1.0,demand_multiplier,0.85
5,5,5,0,2024-09-20T16:00:00,proposed,H08,7,7,0,0.4315682053565979,25.47225549186985,0.07875436541553546,35.52095809451193,20.520958094511933,636.8063872967463,400.00000000000006,0.0,99.0,0.0,131.57894736842104,0.0,0.95,432.5789473684211,500.0,0.8651578947368422,0.16,172.6272821426392,69.70763157894739,24.0,78.9196505636918,9.975495370830973,9.975495370830973,1.3263581279802914,13.538897993555434,0.42546696771347164,1.9831307910861384,290.38093325300076,1.4210854715202004e-14,-2.961102006444566,636.8063872967463,400.00000000000006,0.0,99.0,0.0,131.57894736842104,0.0,432.5789473684211,500.0,0.8651578947368422,0.16,172.6272821426392,69.70763157894739,24.0,78.9196505636918,1.4210854715202004e-14,0.34201596824186553,0.0,25.47225549186985,290.38093325300076,0.0,25.47225549186985,0.6281344031394012,1.5920159682418655,16.0,0.0,636.8063872967463,400.00000000000006,236.8063872967462,0.0,0.0,1.0,0.6281344031394012,demand_multiplier,0.85
5,5,5,0,2024-09-20T17:00:00,proposed,H01,0,0,1,0.4587051272392273,0.05534539840653274,0.1656986085145377,0.0,0.0,1.3836349601633184,136.42686488576842,0.0,28.0,28.0,0.0,0.0,0.95,108.42686488576842,250.0,0.4337074595430737,0.22,62.579702416275275,23.993910274869055,8.185611893146106,30.40018024826011,9.652299236310665,9.652299236310665,1.47964611321715,13.538897993555434,0.6970742054258021,3.2636749424796916,474.573146831514,0.0,-2.961102006444566,1.3836349601633184,136.42686488576842,0.0,28.0,28.0,0.0,0.0,108.42686488576842,250.0,0.4337074595430737,0.22,62.579702416275275,23.993910274869055,8.185611893146106,30.40018024826011,0.0,0.0,0.0,0.05534539840653274,474.573146831514,5.4017291970242045,5.457074595430737,1.0,0.6821343244288421,5.457074595430737,135.04322992560512,136.42686488576842,136.42686488576842,0.0,0.0,0.0,1.0,1.0,demand_multiplier,0.85
5,5,5,0,2024-09-20T17:00:00,proposed,H02,1,1,1,0.5237515568733215,17.90442724830495,0.1656986085145377,74.28320436228711,59.28320436228711,447.61068120762377,200.00000000000003,0.0,21.0,21.0,0.0,0.0,0.95,179.00000000000003,250.0,0.7160000000000001,0.22,104.75031137466432,39.48500000000001,12.0,53.26531137466432,9.816518889652643,9.816518889652643,1.4646229531068293,13.538897993555434,0.6970742054258021,3.2636749424796916,474.573146831514,0.0,-2.961102006444566,447.61068120762377,200.00000000000003,0.0,21.0,21.0,0.0,0.0,179.00000000000003,250.0,0.7160000000000001,0.22,104.75031137466432,39.48500000000001,12.0,53.26531137466432,0.0,0.9880534060381184,0.0,17.90442724830495,474.573146831514,0.0,17.90442724830495,0.4468168620561363,2.2380534060381185,8.0,0.0,447.61068120762377,200.00000000000003,247.61068120762374,0.0,0.0,1.0,0.4468168620561363,demand_multiplier,0.85
