episode_in_batch,episode_index,return,weighted_hub_profit_welfare,profit,wait_violation,unmet,outside_cost_estimate,outside_nll,periods,peak_queued_energy_kwh,mean_queued_energy_kwh,final_queued_energy_kwh,minimum_admission_ratio,peak_admission_pressure,queue_cleared_by_end,episode,update,episodes_in_update,training_batch_mean_return,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,explained_variance,advantage_mean,return_mean
0,1,-59.13627686868715,1007.9654568643084,1007.9654568643085,57.67994286444185,0.0,13.5,0.2577377944894879,6,3332.602351703403,2357.449694005309,1278.9733178432089,0.09001270297893854,11.109543063427205,0,0,0,1,-59.13627686868715,-0.015182067591922532,88.75906532956287,-0.09093224737443961,0.0016441046670176707,0.02083333395421505,0.09727632668373531,-3.6552340984344482,-3.733281373977661
0,2,-45.56637004289628,1256.793287341615,1256.793287341615,48.44525243026036,0.0,13.5,0.32190341686046464,6,2802.2539635711064,1988.427324871623,955.3950475947449,0.12367400851217077,8.085773332895489,0,1,1,1,-45.56637004289628,-0.005969118222310499,37.6102464775322,-0.06860154758032877,0.0005777724722975247,0.0,0.032072709729895954,-1.965924620628357,-2.505265712738037
0,3,-53.07810101890205,988.415821945645,988.4158219456449,52.468549365298756,0.0,13.5,0.2697765538236962,6,2939.4814274337973,2172.065344898401,1720.589655871211,0.08996378695619948,11.115583656864827,0,2,2,1,-53.07810101890205,-0.008843137219855635,84.38969254307449,-0.11084053713420872,0.0006517641359096715,0.010416666977107525,0.1372853221412833,-2.4530105590820312,-3.730419158935547
