seed,training_seed,scenario_seed,episode,timestamp,method,hub_id,hub_index,hub,period,price,arrivals,outside_share,wait_min,wait_excess_min,requested_energy_kwh,served_energy_kwh,unmet_energy_kwh,pv_used_kwh,pv_to_ev_kwh,battery_charge_kwh,battery_discharge_kwh,soc,grid_import_kwh,grid_limit_kwh,grid_utilization,grid_price_gbp_per_kwh,revenue_gbp,energy_cost_gbp,operating_cost_gbp,profit_gbp,access_mean_min,route_mean_min,detour_mean_min,outside_cost_estimate,outside_nll,reward,welfare,energy_balance_error_kwh,outside_cost_error_for_evaluation_only,requested_energy,served_energy,unmet_energy,pv_used,pv_to_ev,battery_charge,battery_discharge,grid_import,grid_limit,grid_limit_utilization,grid_price,revenue,energy_cost,operating_cost,profit,energy_balance,wait_violation,unmet,realized_demand,weighted_hub_profit_welfare,historical_equivalent_vehicles,pending_vehicles,admission_ratio,admission_pressure,admitted_vehicles,queued_energy_start_kwh,pending_energy_kwh,admitted_energy_kwh,queued_energy_next_kwh,queue_vehicle_conservation_error,queue_energy_conservation_error_kwh,admitted_full_service_ratio,pending_full_service_ratio,training_update,episode_index
,5,,1,2024-09-20T16:00:00,mappo_no_inference,H01,0,0,0,0.3541996479034424,39.70865587711759,0.04191368658663985,237.81491907838193,222.81491907838193,992.7163969279397,200.0,0.0,44.0,44.0,84.21052631578947,0.0,0.95,240.21052631578948,250.0,0.9608421052631579,0.16,70.83992958068848,38.653684210526315,12.0,20.186245370162162,10.523533255882333,10.523533255882333,1.9506634909476512,13.5,0.2660287698005368,-3.63384320513536,147.86024743584727,0.0,-3.0,992.7163969279397,200.0,0.0,44.0,44.0,84.21052631578947,0.0,240.21052631578948,250.0,0.9608421052631579,0.16,70.83992958068848,38.653684210526315,12.0,20.186245370162162,0.0,3.7135819846396987,0.0,39.70865587711759,147.86024743584727,0.0,39.70865587711759,0.20146740863646456,4.963581984639699,8.0,0.0,992.7163969279397,200.0,792.7163969279397,0.0,0.0,1.0,0.20146740863646456,0,1
,5,,1,2024-09-20T16:00:00,mappo_no_inference,H02,1,1,0,0.48653823137283325,6.598695360282425,0.04191368658663985,0.0,0.0,164.96738400706064,164.96738400706064,0.0,33.0,33.0,94.73684210526316,0.0,0.95,226.7042261123238,250.0,0.9068169044492952,0.16,80.26293924899831,36.43767617797181,9.898043040423637,33.92722003060286,10.479442469841132,10.479442469841132,1.7707097551672095,13.5,0.2660287698005368,-3.63384320513536,147.86024743584727,0.0,-3.0,164.96738400706064,164.96738400706064,0.0,33.0,33.0,94.73684210526316,0.0,226.7042261123238,250.0,0.9068169044492952,0.16,80.26293924899831,36.43767617797181,9.898043040423637,33.92722003060286,0.0,0.0,0.0,6.598695360282425,147.86024743584727,0.0,6.598695360282425,1.0,0.8248369200353032,6.598695360282425,0.0,164.96738400706064,164.96738400706064,0.0,0.0,0.0,1.0,1.0,0,1
,5,,1,2024-09-20T16:00:00,mappo_no_inference,H03,2,2,0,0.43047988414764404,14.868314443962749,0.04191368658663985,14.341572219813745,0.0,371.70786109906874,300.0,0.0,33.0,0.0,83.0,0.0,0.8628333333333335,350.0,350.0,1.0,0.16,129.1439652442932,56.165,18.0,54.97896524429322,10.527459860438006,10.527459860438006,1.6612176665955147,13.5,0.2660287698005368,-3.63384320513536,147.86024743584727,2.842170943040401e-14,-3.0,371.70786109906874,300.0,0.0,33.0,0.0,83.0,0.0,350.0,350.0,1.0,0.16,129.1439652442932,56.165,18.0,54.97896524429322,2.842170943040401e-14,0.0,0.0,14.868314443962749,147.86024743584727,0.0,14.868314443962749,0.807085432933696,1.2390262036635624,12.0,0.0,371.70786109906874,300.0,71.70786109906874,0.0,0.0,1.0,0.807085432933696,0,1
,5,,1,2024-09-20T16:00:00,mappo_no_inference,H04,3,3,0,0.6300966143608093,0.6152129461001139,0.04191368658663985,0.0,0.0,15.380323652502847,15.380323652502847,0.0,44.0,15.380323652502847,78.94736842105263,0.0,0.95,50.32769207355548,250.0,0.20131076829422193,0.16,9.69108986121552,8.272430731768878,0.9228194191501708,0.4958397102964709,13.071349381297058,13.071349381297058,3.9512880128464136,13.5,0.2660287698005368,-3.63384320513536,147.86024743584727,0.0,-3.0,15.380323652502847,15.380323652502847,0.0,44.0,15.380323652502847,78.94736842105263,0.0,50.32769207355548,250.0,0.20131076829422193,0.16,9.69108986121552,8.272430731768878,0.9228194191501708,0.4958397102964709,0.0,0.0,0.0,0.6152129461001139,147.86024743584727,0.0,0.6152129461001139,1.0,0.07690161826251424,0.6152129461001139,0.0,15.380323652502847,15.380323652502847,0.0,0.0,0.0,1.0,1.0,0,1
,5,,1,2024-09-20T16:00:00,mappo_no_inference,H05,4,4,0,0.7999297380447388,0.039390288221225304,0.04191368658663985,0.0,0.0,0.9847572055306326,0.9847572055306326,0.0,82.5,0.0,131.57894736842104,0.0,0.95,50.06370457395169,500.0,0.10012740914790338,0.16,0.7877365734577879,8.42269273183227,0.05908543233183795,-7.6940415907063215,15.365771094658424,15.365771094658424,6.09206420832217,13.5,0.2660287698005368,-3.63384320513536,147.86024743584727,1.4210854715202004e-14,-3.0,0.9847572055306326,0.9847572055306326,0.0,82.5,0.0,131.57894736842104,0.0,50.06370457395169,500.0,0.10012740914790338,0.16,0.7877365734577879,8.42269273183227,0.05908543233183795,-7.6940415907063215,1.4210854715202004e-14,0.0,0.0,0.039390288221225304,147.86024743584727,0.0,0.039390288221225304,1.0,0.0024618930138265815,0.039390288221225304,0.0,0.9847572055306326,0.9847572055306326,0.0,0.0,0.0,1.0,1.0,0,1
,5,,1,2024-09-20T16:00:00,mappo_no_inference,H06,5,5,0,0.7529645562171936,0.10929121670047165,0.04191368658663985,0.0,0.0,2.7322804175117916,2.7322804175117916,0.0,110.0,0.0,126.31578947368422,0.0,0.95,19.048069891196004,700.0,0.02721152841599429,0.16,2.0573103120326945,3.597691182591361,0.16393682505070747,-1.7043176956093737,13.375382943879307,13.375382943879307,4.587106624633267,13.5,0.2660287698005368,-3.63384320513536,147.86024743584727,0.0,-3.0,2.7322804175117916,2.7322804175117916,0.0,110.0,0.0,126.31578947368422,0.0,19.048069891196004,700.0,0.02721152841599429,0.16,2.0573103120326945,3.597691182591361,0.16393682505070747,-1.7043176956093737,0.0,0.0,0.0,0.10929121670047165,147.86024743584727,0.0,0.10929121670047165,1.0,0.006830701043779478,0.10929121670047165,0.0,2.7322804175117916,2.7322804175117916,0.0,0.0,0.0,1.0,1.0,0,1
,5,,1,2024-09-20T16:00:00,mappo_no_inference,H07,6,6,0,0.40912550687789917,21.561472979261936,0.04191368658663985,47.80736489630968,32.80736489630968,539.0368244815484,300.0,0.0,27.5,27.5,77.5,0.0,0.7954166666666667,350.0,350.0,1.0,0.16,122.73765206336975,56.1375,18.0,48.60015206336975,10.120061419945598,10.120061419945598,1.1796120748284036,13.5,0.2660287698005368,-3.63384320513536,147.86024743584727,0.0,-3.0,539.0368244815484,300.0,0.0,27.5,27.5,77.5,0.0,350.0,350.0,1.0,0.16,122.73765206336975,56.1375,18.0,48.60015206336975,0.0,0.5467894149384946,0.0,21.561472979261936,147.86024743584727,0.0,21.561472979261936,0.5565482474941176,1.7967894149384946,12.0,0.0,539.0368244815484,300.0,239.03682448154836,0.0,0.0,1.0,0.5565482474941176,0,1
,5,,1,2024-09-20T16:00:00,mappo_no_inference,H08,7,7,0,0.6994773149490356,0.39858535396142414,0.04191368658663985,0.0,0.0,9.964633849035604,9.964633849035604,0.0,99.0,0.0,131.57894736842104,0.0,0.95,42.54358121745666,500.0,0.08508716243491332,0.16,6.970035329173698,7.301972994793066,0.5978780309421362,-0.9298156965615038,10.008155029067781,10.008155029067781,1.3364225492047581,13.5,0.2660287698005368,-3.63384320513536,147.86024743584727,1.4210854715202004e-14,-3.0,9.964633849035604,9.964633849035604,0.0,99.0,0.0,131.57894736842104,0.0,42.54358121745666,500.0,0.08508716243491332,0.16,6.970035329173698,7.301972994793066,0.5978780309421362,-0.9298156965615038,1.4210854715202004e-14,0.0,0.0,0.39858535396142414,147.86024743584727,0.0,0.39858535396142414,1.0,0.02491158462258901,0.39858535396142414,0.0,9.964633849035604,9.964633849035604,0.0,0.0,0.0,1.0,1.0,0,1
,5,,1,2024-09-20T17:00:00,mappo_no_inference,H01,0,0,1,0.7480630278587341,2.780612483705779e-18,0.05672679990246792,177.81491907838193,162.81491907838193,6.951531209264447e-17,199.99999999999997,0.0,28.0,28.0,0.0,0.0,0.95,171.99999999999997,250.0,0.6879999999999998,0.22,149.6126055717468,37.98,12.0,99.63260557174681,10.051922825633927,10.051922825633927,1.790578465031397,13.5,0.33436859664949004,-11.98567084774565,217.81907769989027,0.0,-3.0,6.951531209264447e-17,199.99999999999997,0.0,28.0,28.0,0.0,0.0,171.99999999999997,250.0,0.6879999999999998,0.22,149.6126055717468,37.98,12.0,99.63260557174681,0.0,2.7135819846396987,0.0,2.780612483705779e-18,217.81907769989027,31.708655877117593,31.708655877117593,0.25229703936372666,3.963581984639699,8.0,792.7163969279397,792.7163969279397,199.99999999999997,592.7163969279397,0.0,0.0,1.0,0.25229703936372666,0,1
,5,,1,2024-09-20T17:00:00,mappo_no_inference,H02,1,1,1,0.3398035168647766,82.71708828784608,0.05672679990246792,560.3781621588456,545.3781621588456,2067.927207196152,199.99999999999997,0.0,21.0,21.0,0.0,0.0,0.95,178.99999999999997,250.0,0.7159999999999999,0.22,67.96070337295531,39.48499999999999,12.0,16.475703372955316,10.285706053264848,10.285706053264848,1.8349810063938183,13.5,0.33436859664949004,-11.98567084774565,217.81907769989027,0.0,-3.0,2067.927207196152,199.99999999999997,0.0,21.0,21.0,0.0,0.0,178.99999999999997,250.0,0.7159999999999999,0.22,67.96070337295531,39.48499999999999,12.0,16.475703372955316,0.0,9.08963603598076,0.0,82.71708828784608,217.81907769989027,0.0,82.71708828784608,0.09671520317737621,10.33963603598076,8.0,0.0,2067.927207196152,199.99999999999997,1867.9272071961518,0.0,0.0,1.0,0.09671520317737621,0,1
